Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,AUC,Training Time (s),CV Mean,CV Std
Advanced XGBoost,0.18374741200828157,0.16300270741980705,0.17126942884540705,0.18374741200828157,0.17470228405632168,0.6046218514113518,61.691281,0.7167630708731789,0.1007003883083941
Deep Genomic Network,0.15838509316770186,0.15795419648602557,0.180560699618381,0.15838509316770186,0.15595731575707383,0.573176050810355,282.383585,0.15838509316770186,0.0
LightGBM-SMOTE,0.2054865424430642,0.15595444249570517,0.18020664342771542,0.2054865424430642,0.18182411023491468,0.618315124132276,166.371246,0.7623362230762356,0.12045546399121992
Advanced Stacking Ensemble,0.20910973084886128,0.13346944782732556,0.18226343556300048,0.20910973084886128,0.15692489490517542,0.5886697276038773,409.919299,0.7829067834480292,0.12043887820429747
Ultra-Advanced Transformer,0.11076604554865424,0.1,0.012269116846486548,0.11076604554865424,0.022091270966833183,0.5020744310056885,3565.744625,0.11076604554865424,0.0
