,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,cv_balanced_accuracy,cv_std,training_time
RandomForest,0.7347574543836226,0.13484848484848486,0.7347574543836225,0.13054643888068845,0.5475745438362261,0.02028943028753111,3.466071844100952
LightGBM,1.0,0.14545454545454545,1.0,0.1076822423194056,0.6857142857142856,0.032271104235590875,241.81925296783447
XGBoost,0.9853137516688919,0.1393939393939394,0.9853137516688919,0.0999200861748965,0.6881174899866488,0.04453172242686867,112.3527500629425
LogisticRegression,0.2970182465509568,0.09848484848484848,0.2970182465509568,0.09723668874850842,0.27360925678682685,0.019107003494827447,82.47483611106873
